visited_numb,person_id,time,gender,age
1,1338_51,13:38:51.981437,male,27.43
2,1338_53,13:38:53.298703,male,35.17
3,1338_57,13:38:57.084653,male,32.04
4,1338_57_1,13:38:57.839663,male,35.17
5,1338_58,13:38:58.405674,male,46.28
6,1339_01,13:39:01.537554,male,35.17
7,1339_01_1,13:39:01.718611,male,26.93
8,1339_08,13:39:08.494177,male,35.42
9,1339_12,13:39:12.411175,male,35.17
10,1339_14,13:39:14.167632,male,35.17
11,1339_18,13:39:18.677623,male,35.17
12,1339_26,13:39:26.601056,male,33.98
13,1339_31,13:39:31.470399,male,33.59
14,1339_39,13:39:39.400869,male,40.3
15,1340_00,13:40:00.634594,male,18.42
16,1340_02,13:40:02.120038,male,35.17
17,1340_12,13:40:12.303610,male,35.17
18,1340_13,13:40:13.824981,male,34.95
19,1340_14,13:40:14.152704,male,35.17
20,1340_22,13:40:21.993533,male,35.17
21,1340_26,13:40:25.882608,female,32.96
22,1340_26_1,13:40:26.205256,female,29.37
23,1340_41,13:40:41.157046,male,37.26
24,1340_42,13:40:42.045857,male,18.92
25,1340_43,13:40:42.938565,male,35.17
